Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
RLBIQVVOMOPOHC-UHFFFAOYSA-N,-51.14853388,-0.015516786999999999,8.501,2.6616,12.880999999999998,0.69229249,-1.14641656,-0.50288773,0.57819851,0.20197436,268.782,263.2045,449.2121887,-3.68
RLFWWDJHLFCNIJ-UHFFFAOYSA-N,-42.84911773,-0.018321578,7.996,5.3414,11.2701,0.0,-1.22017983,-0.59637148,0.22577924,0.17754326,243.084,203.2432,412.8498535,-0.62
RLLPVAHGXHCWKJ-UHFFFAOYSA-N,-76.16531488,-0.011856402,4.8919999999999995,4.9833,13.0132,0.02041486,-1.05751976,-0.48823114,0.36435847,-0.02681762,449.339,391.2932,688.1566162,-6.29
RLPGDEORIPLBNF-UHFFFAOYSA-N,-26.11411351,-0.0008304260000000001,0.021,13.8737,13.4825,0.0,-0.5053633,-0.11227513,0.03916928,0.0,182.232,114.2302,332.17117310000003,-4.8
RLSSMJSEOOYNOY-UHFFFAOYSA-N,-23.02938892,-0.001258451,2.178,5.8339,13.0731,0.0,-0.64786142,-0.51238672,0.37545335,0.0,139.165,108.1396,289.015625,-0.68
RMBFBMJGBANMMK-UHFFFAOYSA-N,-39.88766147,-0.016769573,8.459,2.5736,14.5676,0.72960135,-0.98908779,-0.44372906,0.57860319,0.33341175,191.53799999999998,182.1354,343.83624269999996,-2.82
RMOUBSOVHSONPZ-UHFFFAOYSA-N,-20.69594195,-0.0066541890000000005,6.11,4.6743,14.4371,0.35334634,-0.70849375,-0.44741995,0.35334634,0.35334634,118.205,88.10600000000001,262.5863647,-0.63
RNFNDJAIBTYOQL-UHFFFAOYSA-N,-27.58196483,-0.01542346,3.12,4.9158,14.6175,-0.216069,-0.24134507,-0.50497346,0.41216544,-0.11269193,147.39,165.4035,271.43756099999996,0.72
RNVCVTLRINQCPJ-UHFFFAOYSA-N,-22.38155196,-0.005577726999999999,2.853,6.1753,11.8785,0.0,-0.5298574,-0.31501332,0.19283607,0.0,141.572,107.1548,290.0488586,-0.85
RNWGZXAHUPFXLL-UHFFFAOYSA-N,-38.71213196,-0.016749602,9.567,2.5864,14.2797,0.47997078,-0.647807,-0.46282585,0.57809585,0.04596454,183.352,179.1318,337.8959961,-2.6510000000000002
