Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
JLKIGFTWXXRPMT-UHFFFAOYSA-N,-26789.4303,-234.6177,8.48596,-1.81005,-1.4516200000000001,-0.9286200000000001,2.42636,0.29041999999999996,253.2752,456.28668210000006,266.56,-2.7784400000000002,12.126,12.537
JLRGJRBPOGGCBT-UHFFFAOYSA-N,-30186.1549,284.2363,7.7128,-2.3944799999999997,-1.09925,-0.92379,2.44562,-0.34609,270.3458,524.9182739,311.298,-3.39,11.915999999999999,13.667
JLYXXMFPNIAWKQ-UHFFFAOYSA-N,-24537.565,-34.1684,5.55692,0.0,-0.58331,-0.11354000000000002,0.12674000000000002,-0.1628,290.8314,374.2933655,244.546,-4.51,12.382,13.477
JMMWKPVZQRWMSS-UHFFFAOYSA-N,-21327.7786,318.9675,2.2039299999999997,-0.73879,0.09122999999999999,-0.48095,0.41292,-0.73879,102.1328,297.33068849999995,138.692,-0.55,13.315,15.585
JOFWLTCLBGQGBO-UHFFFAOYSA-N,-29764.3641,94.3212,9.42179,0.0,-1.50874,-0.28065,0.45388,0.162,343.2146,534.538269,362.691,-4.08,11.155,13.914000000000001
JOMNTHCQHJPVAZ-UHFFFAOYSA-N,-22155.5319,-1415.6015,2.43128,0.0,-0.53381,-0.12257,0.07256,-0.20865999999999998,100.1632,278.4187622,140.25,0.74,14.968,13.466
JOYRKODLDBILNP-UHFFFAOYSA-N,-20104.547,164.1264,3.52445,-0.85895,0.29991999999999996,-0.5848899999999999,0.3415,-0.73064,89.0938,257.76037599999995,109.318,0.85,13.6,14.003
JPLCQHHISLYGRA-UHFFFAOYSA-N,-25602.5841,-83.698,4.69792,-0.70921,-0.46298999999999996,-0.49782,0.26578,-0.68676,192.217,413.1203613,229.449,-2.138,12.174000000000001,13.083
JQUIGGQYRQVIIE-UHFFFAOYSA-N,-27236.1856,-20.0656,5.5854800000000004,-1.55331,0.19933,-0.46638999999999997,0.46646000000000004,-1.47488,235.239,458.7335205,272.416,-0.495,11.794,14.302999999999999
JRZJOMJEPLMPRA-UHFFFAOYSA-N,-24101.4078,59.6399,0.22927899999999998,0.0,-1.08338,-0.18482,0.10684,0.0,126.2412,391.31744380000004,203.13099999999997,-5.05,13.519,14.524000000000001
JSZOAYXJRCEYSX-UHFFFAOYSA-N,-19509.668,-233.577,5.08279,-1.3151700000000002,-0.56547,-0.6583399999999999,1.3219100000000001,0.00674,89.0938,258.38607790000003,111.68299999999999,-0.8,12.343,16.230999999999998
JTAGHJPZEDNHHA-UHFFFAOYSA-N,-35902.849,-21.9882,9.40351,-1.4689299999999998,-0.8297899999999999,-0.5241,0.28524,-1.31782,371.4352,712.0881958,443.74199999999996,-1.845,12.075,12.425
JTGMTYWYUZDRBK-UHFFFAOYSA-N,-24441.6609,-22.701999999999998,0.00158524,0.0,-1.33171,-0.10805999999999999,0.12872999999999998,0.0,206.2866,413.1112061,255.294,-6.5700009999999995,11.106,12.337
JUHORIMYRDESRB-UHFFFAOYSA-N,-27422.1659,397.4392,2.39174,0.0,-1.55723,-0.11267,0.11769,-0.20345,240.3474,525.7734985000001,318.559,-1.206,12.515999999999998,13.532
JUJWROOIHBZHMG-UHFFFAOYSA-N,-17012.7563,-14.3798,2.50101,0.0,-0.49628999999999995,-0.15515,0.12711,-0.13013,79.1012,235.5770264,101.837,0.76,12.35,14.387
JVPGYYNQTPWXGE-UHFFFAOYSA-N,-26141.894,-176.3862,0.553524,0.0,-1.3080200000000002,-0.24575,0.22244,0.15478,225.3076,440.8222351,262.08799999999997,-4.353,11.091,13.380999999999998
JVSWJIKNEAIKJW-UHFFFAOYSA-N,-24204.6593,-212.3499,0.0408093,0.0,-0.90091,-0.12364000000000001,0.06632,0.0,114.2302,362.655365,186.87900000000002,-5.08,15.725999999999999,15.579
JWBOIMRXGHLCPP-UHFFFAOYSA-N,-29839.6605,-186.1662,2.65255,0.0,-1.33885,-0.14715999999999999,0.15896,0.04746,320.045,486.3045959,323.69,-6.509999,12.058,13.8
JWUCHKBSVLQQCO-UHFFFAOYSA-N,-29131.881,-394.1147,2.1719999999999997,-0.3379,-1.0527,-0.3379,0.29973,-0.8102199999999999,301.295,484.7045898,334.086,-3.37,12.059000000000001,14.117
JWUJQDFVADABEY-UHFFFAOYSA-N,-19868.107,459.4503,1.96235,-0.30935,-0.29684,-0.30935,0.07201,-0.30935,86.1334,265.5760498,121.73899999999999,0.11,15.16,14.868
JWZZKOKVBUJMES-UHFFFAOYSA-N,-27621.7918,75.9378,5.59248,-0.97865,-0.66475,-0.37319,0.2506,-1.0711899999999999,211.2602,447.6623230000001,265.687,0.14,12.319,13.472000000000001
JXCGFZXSOMJFOA-UHFFFAOYSA-N,-25529.0151,-163.2538,5.2792900000000005,-0.56419,-0.61837,-0.56419,0.22855999999999999,-0.41223999999999994,212.6785,424.43399050000005,244.827,-3.46,12.297,12.949000000000002
JXSJBGJIGXNWCI-UHFFFAOYSA-N,-34809.6682,-342.0129,4.64762,-2.50366,0.65354,-0.87739,1.88451,-1.90734,330.3503,560.1901245,356.523,-3.3626400000000003,10.17,13.557
JXVIIQLNUPXOII-UHFFFAOYSA-N,-27180.0557,31.4427,5.503769999999999,-0.56606,-1.17944,-0.56606,0.21255,-0.4348,232.3248,483.25292970000004,293.625,-4.11,12.489,12.943
JYFHYPJRHGVZDY-UHFFFAOYSA-N,-29842.7468,1436.8552,5.2389,-3.0272099999999997,-0.38758000000000004,-1.01904,2.28865,-0.73856,210.2095,463.5078125,261.32099999999997,-1.087,12.725,15.050999999999998
JYVLIDXNZAXMDK-UHFFFAOYSA-N,-21339.4675,-138.4063,1.8005799999999998,-0.38165,-0.4474,-0.38165,0.22698000000000002,-0.38165,88.1492,286.03524780000004,134.317,-0.29,15.567,15.405999999999999
JYYNAJVZFGKDEQ-UHFFFAOYSA-N,-20161.6413,-23.6868,2.66515,0.0,-0.60607,-0.16939,0.1327,-0.13094,107.1548,298.2058105,145.351,0.38,12.350999999999999,14.155999999999999
JZQKKSLKJUAGIC-UHFFFAOYSA-N,-30765.0266,-406.5803,4.03967,-0.56948,-1.4697,-0.36764,0.38816,-0.2728,248.3242,509.825592,312.947,-3.8545300000000005,12.427999999999999,12.474
